#scoresofstudentsin2110101class
#year:2557/1
STUDENT_ID,hw1,hw2,quiz1,exam1,quiz2,exam2
5622770071,4,4,2,28,1,38
5622770790,5,3,1,30,2,28
5622771079,2,4,3,12,3,34
5622771152,3,5,4,13,4,23
5622771152,23,455,45,53,45,23
5622770073,28,48,47,61,73,50
5622770071,41,72,79,79,53,89
5622770072,38,41,86,72,100,88
5622770073,52,4,20,25,75,49
5622770071,6,39,90,78,31,13
5622770073,48,68,0,100,39,46
5622770073,8,53,43,58,25,59
5622770073,29,46,39,44,36,50
5622770071,48,39,34,39,54,52
5622770073,75,20,53,88,85,35
5622770071,51,17,39,9,98,39
5622770072,75,53,84,44,98,76
5622770073,47,9,19,10,3,83
5622770073,78,12,12,71,64,99
5622770073,84,70,50,17,21,89
5622770073,20,71,38,3,96,91
5622770071,13,80,74,80,68,47
5622770073,75,78,26,58,36,13
5622770071,12,79,35,47,17,31
5622770071,18,57,54,0,74,4

